,record_label_id,record_label_name,record_label_picture,date
0,96392,CircoLoco Records,https://geo-media.beatport.com/image_size/500x500/75708b0f-5971-4287-b49e-ec2480096093.jpg,2023-11-16
1,110903,Golden Recordings,https://geo-media.beatport.com/image_size/500x500/c6900e20-65cb-4ff1-9ec2-71248e05d35e.jpg,2023-11-16
2,71740,Catch & Release,https://geo-media.beatport.com/image_size/500x500/9e981795-253d-4798-96f7-44bc15956b3c.jpg,2023-11-16
3,1776,XL Recordings,https://geo-media.beatport.com/image_size/500x500/903b3f54-a3ed-490a-b44a-eed52ed485c3.jpg,2023-11-16
4,495,Toolroom,https://geo-media.beatport.com/image_size/500x500/41217a0b-92e4-4fbd-9223-d513c62dd411.jpg,2023-11-16
5,1354,Defected,https://geo-media.beatport.com/image_size/500x500/dde2f63e-d9a2-4823-89c9-23a7e24cb280.jpg,2023-11-16
6,61898,NO ART,https://geo-media.beatport.com/image_size/500x500/eab11748-a627-44b1-b2f0-2a785d2e2383.jpg,2023-11-16
7,1907,Rekids,https://geo-media.beatport.com/image_size/500x500/9d4785a6-7d09-4edf-9075-65898830626e.jpg,2023-11-16
8,899,Cajual,https://geo-media.beatport.com/image_size/500x500/7b210179-d362-494c-8fcb-3ffda6a10d0c.jpg,2023-11-16
9,60197,Black Book Records,https://geo-media.beatport.com/image_size/500x500/c8e700cd-f7f5-45f5-9466-4b26d749ef74.jpg,2023-11-16
11,66520,SOLOTOKO,https://geo-media.beatport.com/image_size/500x500/aa63e210-bca1-4101-8935-f10388472f63.jpg,2023-11-16
12,116284,Finicky,https://geo-media.beatport.com/image_size/500x500/2f9ad47a-3bd6-452c-808c-8f0b4883a83a.jpg,2023-11-16
14,89002,Calamar Records,https://geo-media.beatport.com/image_size/500x500/e889fbc1-a55b-4c9b-9fac-01d64b8d1772.jpg,2023-11-16
17,6680,Yellow Productions,https://geo-media.beatport.com/image_size/60x60/41e5bc10-ab70-4fe5-962a-c38268a56643.jpg,2023-11-16
18,19912,Arms & Legs,https://geo-media.beatport.com/image_size/500x500/880af6e5-07a7-407b-a243-e4d406b31535.jpg,2023-11-16
19,47988,DVINE Sounds,https://geo-media.beatport.com/image_size/500x500/b32ecda5-6e7f-47fe-8c76-7e92044cc8e5.jpg,2023-11-16
20,458,Southern Fried Records,https://geo-media.beatport.com/image_size/500x500/65ebb1ea-cbe1-4940-a72f-b97107c74dbe.jpg,2023-11-16
21,12933,Because Music,https://geo-media.beatport.com/image_size/500x500/cda9862c-cf92-4d13-ac65-7e9277181f51.jpg,2023-11-16
22,3315,Innervisions,https://geo-media.beatport.com/image_size/500x500/cd2fb4d4-8014-49e1-a99f-01503ce3b94d.jpg,2023-11-16
23,59027,Ministry of Sound Recordings,https://geo-media.beatport.com/image_size/500x500/49527c28-5b58-4971-83c1-6ac5e19dbd75.jpg,2023-11-16
24,52484,PIV,https://geo-media.beatport.com/image_size/500x500/e62741e3-330e-4ae6-b639-ca6998194226.jpg,2023-11-16
25,2752,Nervous Records,https://geo-media.beatport.com/image_size/500x500/2f4aee5b-0905-4eaa-ab5b-17b3a65532df.jpg,2023-11-16
26,86273,Beat Factory,https://geo-media.beatport.com/image_size/500x500/3429ac52-fe61-4237-ac4b-15403176d57f.jpg,2023-11-16
28,113834,Jackies Music Records,https://geo-media.beatport.com/image_size/500x500/be9b5352-21e7-4838-a152-b0e152914590.jpg,2023-11-16
